iso3,country,UNregion,r_placeholder,g0,delta_g_per_capita,population,total_deficit_usd,rank_by_total_deficit,rank_by_r_lowest,undernourish_pct,poverty_215_pct,has_gdp,has_socio,data_notes
URY,Uruguay,South America,0.7277333333333331,23906.5133029408,325.447334430701,3386588.0,1102156037.4149988,95,180,2.5,0.2,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ZWE,Zimbabwe,Eastern Africa,0.4722222222222221,2497.20332208763,65.89842099953471,16634373.0,1096178915.0172932,96,1,19.7,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SVN,Slovenia,Southern Europe,0.7283333333333332,34301.0318686594,465.92234954929046,2127400.0,991203206.4311606,97,191,2.5,0.0,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ISL,Iceland,Northern Europe,0.4722222222222221,86040.5309851288,2270.514012107566,386506.0,877567288.763647,98,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
PRY,Paraguay,South America,0.6055222222222221,6416.09708970845,126.5503860977329,6929153.0,876886987.4802642,99,149,5.2,2.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SEN,Senegal,Western Africa,0.4722222222222221,1773.21829923448,46.79326067424323,18501984.0,865768160.3026774,100,1,5.1,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
HND,Honduras,Central America,0.5455222222222221,3426.43483328923,77.86192443668301,10825703.0,842910068.9599726,101,136,14.8,15.7,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
PNG,Papua New Guinea,Melanesia,0.4722222222222221,3006.70564478923,79.34362118193803,10576502.0,839177968.1180099,102,1,28.7,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BIH,Bosnia and Herzegovina,Southern Europe,0.4722222222222221,9358.78768951134,246.968008473216,3164253.0,781469261.7153991,103,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SLV,El Salvador,Central America,0.5950222222222221,5579.65969165029,112.98190913403882,6338193.0,716101145.6000009,104,145,6.7,4.6,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ALB,Albania,Southern Europe,0.4722222222222221,11377.7757431099,300.24685988762246,2377128.0,713725217.5509442,105,1,5.4,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
CYP,Cyprus,Western Asia,0.7283333333333332,38674.29296875,525.3258128255212,1358282.0,713540595.6962746,106,191,2.5,0.0,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MLI,Mali,Western Africa,0.4722222222222221,1094.61949265799,28.88579216736363,24478595.0,707083607.7190665,107,1,12.3,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
TTO,Trinidad and Tobago,Caribbean,0.4722222222222221,18733.4110406494,494.3539024615815,1368333.0,676440758.4169632,108,1,11.2,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ZMB,Zambia,Eastern Africa,0.4722222222222221,1187.10943350064,31.32649893960023,21314956.0,667722946.5316256,109,1,37.2,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
HTI,Haiti,Caribbean,0.4722222222222221,2142.62330526788,56.54144833345796,11772557.0,665637423.3681889,110,1,54.2,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
GIN,Guinea,Western Africa,0.4722222222222221,1694.95375862193,44.72794640807872,14754785.0,659951232.7427238,111,1,11.4,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
GUY,Guyana,South America,0.4722222222222221,29675.2443873316,783.0967268879175,831087.0,650821509.4590987,112,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MNG,Mongolia,Eastern Asia,0.4722222222222221,6750.6301157724,178.14162805510506,3524788.0,627911472.8690977,113,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BFA,Burkina Faso,Western Africa,0.4722222222222221,981.992649769081,25.91369492446187,23548781.0,610235926.676964,114,1,13.1,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MOZ,Mozambique,Eastern Africa,0.4722222222222221,656.776824637306,17.331610650151138,34631766.0,600224284.4391421,115,1,21.8,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
LVA,Latvia,Northern Europe,0.7271333333333332,23409.0845154775,319.37794307283156,1866124.0,595998844.6388447,116,173,2.5,0.4,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
EST,Estonia,Northern Europe,0.7274333333333332,31428.3547816104,428.31609508204735,1372341.0,587795738.240992,117,178,2.5,0.3,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
JAM,Jamaica,Caribbean,0.4722222222222221,7753.8006955432,204.61418502127896,2839175.0,580935478.7577897,118,1,7.7,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BEN,Benin,Western Africa,0.4722222222222221,1485.38018885134,39.19753276135482,14462724.0,566903097.8084327,119,1,14.3,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
GAB,Gabon,Middle Africa,0.4722222222222221,8230.04311451151,217.18169329960938,2538952.0,551413894.5664299,120,1,25.3,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
LBN,Lebanon,Western Asia,0.4722222222222221,3477.72489842684,91.7732959307083,5805962.0,532832268.788447,121,1,8.7,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
NER,Niger,Western Africa,0.4722222222222221,735.270255787226,19.402965083274026,27032412.0,524508946.1526778,122,1,12.9,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
NIC,Nicaragua,Central America,0.4722222222222221,2847.53966339498,75.14340778403421,6916140.0,519702328.3114704,123,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
TCD,Chad,Middle Africa,0.4722222222222221,961.55975562506,25.37449355121687,20299123.0,515079965.658858,124,1,32.0,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BWA,Botswana,Southern Africa,0.4722222222222221,7695.75319445165,203.08237596469638,2521139.0,511998898.25725865,125,1,24.0,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
GEO,Georgia,Western Asia,0.7157333333333332,9241.49122313713,131.3523952515225,3699557.0,485945673.3195368,126,152,2.5,4.2,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
AFG,Afghanistan,Southern Asia,0.4722222222222221,413.757894705303,10.918611110278832,42647492.0,465651379.9767276,127,1,28.1,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MDG,Madagascar,Eastern Africa,0.4722222222222221,544.987501003384,14.381614609811525,31964956.0,459707678.21158254,128,1,39.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MKD,North Macedonia,Southern Europe,0.4722222222222221,9291.85661671864,245.20177183007527,1824359.0,447336059.2541443,129,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
LAO,Laos,South-eastern Asia,0.4722222222222221,2123.97909415109,56.049448317876,7769819.0,435494068.479751,130,1,,7.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BHS,Bahamas,Caribbean,0.4722222222222221,39455.4466548546,1041.185397836441,401283.0,417810000.0000006,131,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
COG,Congo Republic,Middle Africa,0.4722222222222221,2482.2489948456,65.50379291953668,6332961.0,414832965.91150194,132,1,26.4,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BRN,Brunei Darussalam,South-eastern Asia,0.4722222222222221,33153.4738913513,874.8833387995484,462721.0,404826893.41266584,133,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MUS,Mauritius,Eastern Africa,0.4722222222222221,11990.7798944837,316.4233583266533,1245779.0,394193574.9128198,134,1,8.7,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
RWA,Rwanda,Eastern Africa,0.4722222222222221,999.65456165547,26.37977315479713,14256567.0,376085003.42616665,135,1,24.4,38.6,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ARM,Armenia,Western Asia,0.7259333333333332,8556.21406956719,117.24865346663577,3033500.0,355673790.29103965,136,167,2.5,0.8,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
NAM,Namibia,Southern Africa,0.4722222222222221,4413.12752211572,116.45753183360931,3030131.0,352881577.3925064,137,1,18.1,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
KGZ,Kyrgyzstan,Central Asia,0.6054222222222221,2420.18542283831,47.74756929768561,7221868.0,344826642.7887382,138,148,5.1,2.2,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MLT,Malta,Southern Europe,0.7271333333333332,43898.5781808597,598.9229349808628,568847.0,340695514.79505885,139,173,2.5,0.4,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
GNQ,Equatorial Guinea,Middle Africa,0.4722222222222221,6745.40013244916,178.00361460629733,1892516.0,336874688.7002514,140,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SOM,Somalia,Eastern Africa,0.4722222222222221,629.538899449007,16.612832068793242,19009151.0,315795833.33333313,141,1,53.2,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MWI,Malawi,Eastern Africa,0.4722222222222221,522.570393642547,13.790052054456103,21655286.0,298627521.1941345,142,1,21.4,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MCO,Monaco,Western Europe,0.4722222222222221,288001.433369041,7600.037825016362,38631.0,293597061.21820706,143,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
TJK,Tajikistan,Central Asia,0.5871222222222221,1341.20229027672,27.687631057995922,10590927.0,293237679.3381676,144,141,8.4,6.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MRT,Mauritania,Western Africa,0.4722222222222221,2110.12036938187,55.68373196979937,5169395.0,287851205.626021,145,1,8.7,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
TGO,Togo,Western Africa,0.4722222222222221,1119.38160509429,29.539236801099328,9515236.0,281072809.42234516,146,1,9.1,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MDA,Moldova,Eastern Europe,0.7280333333333332,7576.19589413326,103.0236371670555,2402306.0,247494301.70824042,147,185,2.5,0.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
LIE,Liechtenstein,Western Europe,0.4722222222222221,206780.590353385,5456.7100232143275,40450.0,220723920.43901956,148,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MNE,Montenegro,Southern Europe,0.4722222222222221,13263.3281277699,350.0044922605947,623525.0,218236551.0367873,149,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BRB,Barbados,Caribbean,0.4722222222222221,26544.8707282621,700.4896442180278,282467.0,197865208.33333367,150,1,4.4,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MDV,Maldives,Southern Asia,0.4722222222222221,13379.3513577224,353.0662163843412,527799.0,186347995.9414389,151,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SLE,Sierra Leone,Western Africa,0.4722222222222221,806.654650417726,21.286719941578884,8642022.0,183960302.04296342,152,1,24.1,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
FJI,Fiji,Melanesia,0.4722222222222221,6425.74151715712,169.5681789249796,928784.0,157492211.49465826,153,1,6.8,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SWZ,Eswatini,Southern Africa,0.4722222222222221,3909.55892378182,103.1689160442425,1242822.0,128220598.57593754,154,1,14.7,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
LBR,Liberia,Western Africa,0.4722222222222221,851.497723870206,22.47007882435266,5612817.0,126120440.41666663,155,1,35.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SUR,Suriname,South America,0.4722222222222221,6961.78955961526,183.71389115651385,634431.0,116553787.68031824,156,1,9.7,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
DJI,Djibouti,Eastern Africa,0.4722222222222221,3552.72335079222,93.75242175701695,1168722.0,109570517.86070436,157,1,12.9,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
AND,Andorra,Southern Europe,0.4722222222222221,49303.6491674336,1301.0685196961647,81938.0,106606952.36686434,158,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BLZ,Belize,Central America,0.4722222222222221,7681.24400583113,202.69949459832154,417072.0,84540283.61111116,159,1,7.0,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BDI,Burundi,Eastern Africa,0.4722222222222221,219.424830882698,5.790377481626754,14047786.0,81341983.72111157,160,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BTN,Bhutan,Southern Asia,0.4722222222222221,3831.32535494609,101.10441908885518,791524.0,80026574.21488701,161,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
CAF,Central African Republic,Middle Africa,0.4722222222222221,516.160999996036,13.620915277673177,5330690.0,72608876.86153963,162,1,29.8,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
CPV,Cabo Verde,Western Africa,0.4722222222222221,5192.48157325878,137.02381929432897,524877.0,71920651.19974951,163,1,13.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
LCA,St. Lucia,Caribbean,0.4722222222222221,14181.6303351598,374.23746717782814,179744.0,67266939.30041154,164,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
GMB,Gambia,Western Africa,0.4722222222222221,871.340291776294,22.993702144096652,2759988.0,63462341.99328103,165,1,16.8,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
LSO,Lesotho,Southern Africa,0.4722222222222221,971.90771824829,25.64756478710766,2337423.0,59949207.82737555,166,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
GNB,Guinea-Bissau,Western Africa,0.4722222222222221,1007.74151728028,26.59317892822962,2201352.0,58540947.62001613,167,1,22.1,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ATG,Antigua and Barbuda,Caribbean,0.4722222222222221,23542.4526945578,621.2591683286088,93772.0,58256714.732510306,168,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SYC,Seychelles,Eastern Africa,0.4722222222222221,17858.8226383978,471.27448629105317,121354.0,57191044.00936446,169,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SMR,San Marino,Southern Europe,0.4722222222222221,59879.7173015651,1580.1592065690795,33977.0,53689069.36159761,170,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
TLS,Timor-Leste,South-eastern Asia,0.4722222222222221,1331.9705130185,35.14922187132154,1400638.0,49231335.82340405,171,1,18.7,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SLB,Solomon Islands,Melanesia,0.4722222222222221,1933.55538435227,51.02437819818492,819198.0,41799068.57119669,172,1,20.0,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
GRD,Grenada,Caribbean,0.4722222222222221,11705.0902976658,308.88432729951427,117207.0,36203405.34979417,173,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
WSM,Samoa,Polynesia,0.4722222222222221,5392.87761915762,142.3120482833261,218019.0,31026730.454682473,174,1,3.6,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
COM,Comoros,Eastern Africa,0.5761222222222221,1662.75663312504,35.2402793317151,866628.0,30540212.796685595,175,139,15.4,5.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
VCT,St. Vincent and the Grenadines,Caribbean,0.4722222222222221,11501.2265187188,303.50458868841287,100616.0,30537417.69547335,176,1,6.1,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
KNA,St. Kitts and Nevis,Caribbean,0.4722222222222221,23960.6534357084,632.2950212200828,46843.0,29618595.67901234,177,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
VUT,Vanuatu,Melanesia,0.4722222222222221,3410.77023167097,90.00643666909507,327777.0,29502039.792085975,178,1,7.2,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
STP,Sao Tome and Principe,Middle Africa,0.4722222222222221,3490.56883486557,92.1122331422859,235536.0,21695746.945401452,179,1,17.4,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
DMA,Dominica,Caribbean,0.4722222222222221,10405.2787777582,274.5837455241748,66205.0,18178816.872427993,180,1,3.6,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
TON,Tonga,Polynesia,0.4722222222222221,5651.59373063157,149.13927900277758,104175.0,15536584.390114354,181,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
FSM,"Micronesia, Fed. Sts.",Micronesia,0.4722222222222221,4166.00476748564,109.93623691975996,113160.0,12440384.569840038,182,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MHL,Marshall Islands,Micronesia,0.4722222222222221,7726.33668877794,203.88944039830682,37548.0,7655640.708075624,183,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
PLW,Palau,Micronesia,0.4722222222222221,15610.8231931032,411.9522787068901,17695.0,7289495.571718421,184,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
NRU,Nauru,Polynesia,0.4722222222222221,13609.158837552,359.13058043540013,11947.0,4290533.044461725,185,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
KIR,Kiribati,Micronesia,0.7224333333333331,2288.63471423684,31.762435442416965,134518.0,4272619.290843045,186,155,4.1,0.9,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
TUV,Tuvalu,Polynesia,0.4722222222222221,6344.7750188689,167.43156299792935,9646.0,1615044.8566780265,187,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
CUB,Cuba,Caribbean,0.4722222222222221,,,10979783.0,,,1,,,False,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ERI,Eritrea,Eastern Africa,0.4722222222222221,,,3535603.0,,,1,,,False,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
PRK,North Korea,Eastern Asia,0.4722222222222221,,,26498823.0,,,1,,,False,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SSD,South Sudan,Eastern Africa,0.4722222222222221,,,11943408.0,,,1,22.3,,False,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SYR,Syria,Western Asia,0.4722222222222221,,,24672760.0,,,1,39.0,,False,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
YEM,Yemen,Western Asia,0.4722222222222221,,,40583164.0,,,1,,,False,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
